# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
2901;@;SCHEDULING;schedule of schedule type '%1%' has finished on time with a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
2902;@;SCHEDULING;schedule of schedule type '%1%' has finished ahead of time a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
2903;@;SCHEDULING;schedule of schedule type '%1%' has finished late with a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
#;;;;;;;;;
# Schedule Milestones Validation;;;;;;;;;
#;;;;;;;;;
2300;@;SCHEDULING;value for schedule #%1%.%2% milestone '%3%' is faulty - no date value for date milestone';;90;Error;false;|R1|;|ENTRYVALIDATOR|
2301;@;SCHEDULING;value for schedule #%1%.%2% date milestone '%3%' is faulty - date not in calendar %4%';;90;Error;false;|R1|;|ENTRYVALIDATOR|
2302;@;SCHEDULING;milestone '%3%' in schedule #%1%.%2% with value '%4%' is prohibited in schedule type '%5%' - set to nothing;;40;Warning;false;|Y1|;|ENTRYVALIDATOR|
2303;@;SCHEDULING;milestone '%3%' in schedule #%1%.%2% with value '%4%' is prohibited in schedule type '%5%';;90;Warning;false;|R1|;|ENTRYVALIDATOR|
#;;;;;;;;;
# DELIVERABLE TRACKING;;;;;;;;;
#;;;;;;;;;
3000;@;TRACKING;schedule  #%1%.%2% has postive gap of '%2' working days to target date '%3%';;10;Info;true;|G1|;|TRACKING|
#3000;@;TRACKING;schedule  #%1%.%2% has started';;10;Info;true;|G1|;|TRACKING|
3400;@;TRACKING;schedule  #%1%.%2% has negative gap of '%2' working days to target date '%3%';;90;Info;true;|R1|;|TRACKING|
3450;@;TRACKING;schedule #%1%.%2% is not trackable - errors and mistakes found';;91;Info;true;|R2|;|TRACKING|
